  

Battery Voltage: 8.15
Target Velocity, Filtered Velocity, Unfiltered Velocity, Commanded Power, Actual Power, Error
85,91,91,73,-73,-6
85,89,89,73,-73,-4
85,89,89,73,-73,-4
85,90,91,73,-73,-5
85,89,90,73,-73,-4
85,88,91,73,-73,-3
85,88,89,73,-73,-3
85,90,90,73,-73,-5
85,87,91,73,-73,-2
85,89,91,73,-73,-4
85,88,87,73,-73,-3
85,88,89,73,-73,-3
85,88,93,73,-73,-3
85,89,91,73,-73,-4
85,90,92,73,-73,-5
85,91,92,73,-73,-6
85,91,93,73,-73,-6
85,91,89,73,-73,-6
85,89,91,73,-73,-4
85,88,88,73,-73,-3
85,90,90,73,-73,-5
85,87,91,73,-73,-2
85,89,90,73,-73,-4
85,88,89,73,-73,-3
85,88,93,73,-73,-3
85,90,89,72,-72,-5
85,88,89,72,-72,-3
85,88,89,72,-72,-3
85,88,89,72,-72,-3
85,88,92,72,-72,-3
85,89,92,72,-72,-4
85,89,93,72,-72,-4
85,90,91,72,-72,-5
85,91,92,72,-72,-6
85,91,88,72,-72,-6
85,87,89,72,-72,-2
85,89,89,72,-72,-4
85,88,90,72,-72,-3
85,88,89,72,-72,-3
85,88,90,72,-72,-3
85,88,88,72,-72,-3
85,87,91,72,-72,-2
85,88,90,72,-72,-3
85,89,87,72,-72,-4
85,88,88,72,-72,-3
85,88,91,72,-72,-3
85,88,93,72,-72,-3
85,90,91,72,-72,-5
85,90,93,72,-72,-5
85,91,92,72,-72,-6
85,91,91,72,-72,-6
85,91,89,71,-71,-6
85,89,89,71,-71,-4
85,87,88,71,-71,-2
85,87,92,71,-71,-2
85,89,91,71,-71,-4
85,88,87,71,-71,-3
85,88,90,71,-71,-3
85,88,90,71,-71,-3
85,88,89,71,-71,-3
85,90,87,71,-71,-5
85,86,89,71,-71,-1
85,87,89,71,-71,-2
85,89,93,71,-71,-4
85,88,91,71,-71,-3
85,90,91,71,-71,-5
85,89,91,71,-71,-4
85,90,91,71,-71,-5
85,91,89,71,-71,-6
85,91,88,71,-71,-6
85,87,91,71,-71,-2
85,88,89,71,-71,-3
85,87,91,71,-71,-2
85,89,89,71,-71,-4
85,89,90,71,-71,-4
85,88,91,71,-71,-3
85,90,91,71,-71,-5
85,89,87,71,-71,-4
85,86,87,71,-71,-1
85,89,93,71,-71,-4
85,88,91,70,-70,-3
85,92,91,70,-70,-7
85,90,91,70,-70,-5
85,88,91,70,-70,-3
85,90,88,70,-70,-5
85,89,89,70,-70,-4
85,87,86,70,-70,-2
85,89,86,70,-70,-4
85,87,91,70,-70,-2
85,87,88,70,-70,-2
85,87,87,70,-70,-2
85,87,89,70,-70,-2
85,88,91,70,-70,-3
85,88,87,70,-70,-3
85,87,89,70,-70,-2
85,88,89,70,-70,-3
85,87,89,70,-70,-2
85,88,93,70,-70,-3
85,89,91,70,-70,-4
85,89,92,70,-70,-4
85,90,91,70,-70,-5
85,91,91,70,-70,-6
85,91,87,70,-70,-6
85,87,90,70,-70,-2
85,88,89,70,-70,-3
85,89,90,70,-70,-4
85,88,89,70,-70,-3
85,88,89,70,-70,-3
85,88,89,70,-70,-3
85,88,90,69,-69,-3
85,88,89,69,-69,-3
85,87,84,69,-69,-2
85,86,90,69,-69,-1
85,86,90,69,-69,-1
85,89,91,69,-69,-4
85,88,90,69,-69,-3
85,88,91,69,-69,-3
85,90,89,69,-69,-5
85,88,89,69,-69,-3
85,88,89,69,-69,-3
85,88,87,69,-69,-3
85,87,89,69,-69,-2
85,87,90,69,-69,-2
85,89,89,69,-69,-4
85,86,88,69,-69,-1
85,87,89,69,-69,-2
85,87,91,69,-69,-2
85,89,86,69,-69,-4
85,86,87,69,-69,-1
85,87,86,69,-69,-2
85,85,90,71,-69,0
85,86,91,71,-71,-1
85,87,91,71,-71,-2
85,89,91,71,-71,-4
85,88,93,71,-71,-3
85,88,91,71,-71,-3
85,90,87,71,-71,-5
85,89,89,71,-71,-4
85,88,89,71,-71,-3
85,88,90,71,-71,-3
85,88,88,71,-71,-3
85,89,89,71,-71,-4
85,85,89,71,-71,0
85,88,89,71,-71,-3
85,90,89,71,-71,-5
85,88,84,71,-71,-3
85,84,91,71,-71,0
85,88,91,71,-71,-3
85,88,91,71,-71,-3
85,88,89,71,-71,-3
85,89,91,71,-71,-4
85,89,91,71,-71,-4
85,88,87,71,-71,-3
85,88,89,71,-71,-3
85,88,85,71,-71,-3
85,86,88,71,-71,-1
85,85,90,71,-71,0
85,90,89,71,-71,-5
85,87,87,71,-71,-2
85,87,89,71,-71,-2
85,87,91,71,-71,-2
85,88,87,71,-71,-3
85,85,88,71,-71,0
85,88,87,71,-71,-3
85,86,91,71,-71,-1
85,89,91,71,-71,-4
85,90,91,70,-70,-5
85,89,91,70,-70,-4
85,88,91,70,-70,-3
85,90,90,70,-70,-5
85,88,86,70,-70,-3
85,88,90,70,-70,-3
85,88,87,70,-70,-3
85,86,89,70,-70,-1
85,88,88,70,-70,-3
85,86,88,70,-70,-1
85,87,88,70,-70,-2
85,87,89,70,-70,-2
85,87,89,70,-70,-2
85,88,84,70,-70,-3
85,85,90,70,-70,0
85,87,91,70,-70,-2
85,87,90,70,-70,-2
85,89,91,70,-70,-4
85,88,91,70,-70,-3
85,88,91,70,-70,-3
85,88,89,70,-70,-3
85,89,89,70,-70,-4
85,88,86,70,-70,-3
85,88,89,70,-70,-3
85,86,89,70,-70,-1
85,87,88,70,-70,-2
85,89,87,70,-70,-4
85,87,89,70,-70,-2
85,87,90,70,-70,-2
85,87,86,70,-70,-2
85,87,88,70,-70,-2
85,85,87,70,-70,0
85,85,88,70,-70,0
85,88,93,70,-70,-3
85,88,90,70,-70,-3
85,90,91,70,-70,-5
85,90,91,70,-70,-5
85,89,89,70,-70,-4
85,88,86,70,-70,-3
85,88,89,70,-70,-3
85,86,88,70,-70,-1
85,87,89,70,-70,-2
85,87,89,70,-70,-2
85,87,88,70,-70,-2
85,88,89,70,-70,-3
85,87,89,70,-70,-2
85,87,89,70,-70,-2
85,88,85,70,-70,-3
85,86,91,70,-70,-1
85,87,92,70,-70,-2
85,89,91,70,-70,-4
85,90,91,70,-70,-5
85,89,91,69,-69,-4
85,88,91,69,-69,-3
85,90,87,69,-69,-5
85,87,89,69,-69,-2
85,87,85,69,-69,-2
85,86,87,69,-69,-1
85,86,90,69,-69,-1
85,85,87,70,-70,0
85,88,87,70,-70,-3
85,86,89,70,-70,-1
85,85,90,70,-70,0
85,88,86,70,-70,-3
85,86,87,70,-70,-1
85,85,88,70,-70,0
85,88,88,70,-70,-3
85,86,93,70,-70,-1
85,89,91,70,-70,-4
85,90,91,69,-69,-5
85,89,91,69,-69,-4
85,88,90,69,-69,-3
85,90,85,69,-69,-5
85,87,87,69,-69,-2
85,87,89,69,-69,-2
85,87,87,69,-69,-2
85,86,89,69,-69,-1
85,87,87,69,-69,-2
85,87,87,69,-69,-2
85,87,89,69,-69,-2
85,86,89,69,-69,-1
85,88,85,69,-69,-3
85,84,86,69,-69,0
85,86,92,69,-69,-1
85,87,89,69,-69,-2
85,87,90,69,-69,-2
85,87,91,69,-69,-2
85,89,91,69,-69,-4
85,90,89,69,-69,-5
85,89,88,69,-69,-4
85,88,87,69,-69,-3
85,86,87,69,-69,-1
85,85,91,69,-69,0
85,88,87,69,-69,-3
85,88,87,69,-69,-3
85,86,89,69,-69,-1
85,87,89,69,-69,-2
85,87,87,69,-69,-2
85,87,85,69,-69,-2
85,87,87,69,-69,-2
85,86,88,69,-69,-1
85,85,89,69,-69,0
85,88,91,69,-69,-3
85,88,89,69,-69,-3
85,90,91,69,-69,-5
85,89,89,69,-69,-4
85,88,87,69,-69,-3
85,86,87,69,-69,-1
85,87,88,69,-69,-2
85,85,89,69,-69,0
85,86,88,69,-69,-1
85,87,89,69,-69,-2
85,85,87,69,-69,0
85,88,89,69,-69,-3
85,86,89,69,-69,-1
