Battery Voltage: 7.92
Target Velocity, Filtered Velocity, Unfiltered Velocity, Commanded Power, Actual Power, Error
85,87,90,70,70,-2
85,85,88,70,70,0
85,87,91,70,70,-2
85,89,89,69,69,-4
85,87,86,69,69,-2
85,87,85,69,69,-2
85,85,89,69,69,0
85,86,87,69,69,-1
85,87,86,69,69,-2
85,85,87,69,69,0
85,85,85,69,69,0
85,84,89,69,69,0
85,86,90,69,69,-1
85,87,84,69,69,-2
85,84,85,69,69,0
85,85,89,69,69,0
85,84,89,69,69,0
85,86,87,69,69,-1
85,87,89,69,69,-2
85,87,92,69,69,-2
85,89,88,69,69,-4
85,88,88,69,69,-3
85,86,86,69,69,-1
85,87,87,69,69,-2
85,85,87,69,69,0
85,85,89,69,69,0
85,88,87,69,69,-3
85,88,85,69,69,-3
85,84,90,69,69,0
85,86,87,69,69,-1
85,87,84,69,69,-2
85,85,85,69,69,0
85,85,85,69,69,0
85,86,89,69,69,-1
85,85,89,69,69,0
85,86,87,69,69,-1
85,87,89,69,69,-2
85,87,90,69,69,-2
85,89,89,69,69,-4
85,87,84,69,69,-2
85,85,89,69,69,0
85,85,87,69,69,0
85,88,87,69,69,-3
85,86,88,69,69,-1
85,85,86,69,69,0
85,88,87,69,69,-3
85,85,87,69,69,0
85,86,86,69,69,-1
85,87,84,69,69,-2
85,83,85,69,69,1
85,84,89,69,69,0
85,85,87,69,69,0
85,86,89,69,69,-1
85,87,91,69,69,-2
85,87,89,69,69,-2
85,87,88,69,69,-2
85,89,86,69,69,-4
85,87,85,69,69,-2
85,83,86,69,69,1
85,84,87,69,69,0
85,87,89,69,69,-2
85,86,84,69,69,-1
85,85,88,69,69,0
85,86,88,69,69,-1
85,87,87,69,69,-2
85,87,85,69,69,-2
85,84,85,69,69,0
85,84,87,69,69,0
85,84,89,69,69,0
85,86,88,69,69,-1
85,86,89,69,69,-1
85,89,89,69,69,-4
85,86,90,69,69,-1
